Name,Age,Team,Finals Time,Seed Time,EVENT,EVENT_NUM,PLACE,GENDER,AGE_GROUP,DISTANCE,STROKE,DISTANCEXSTROKE,AGE_GROUPXGENDER,MEET,PCT_DROP_GAIN
Reagan,13,Virgin Islands Swimming,9:38.89,9:22.27,Girls 13-14 800 LC Meter Freestyle,1,1,Girls,13-14,800,Freestyle,800Freestyle,13-14Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-2.955875291230193
Marena,13,Trinidad & Tobago,9:46.17,9:49.52,Girls 13-14 800 LC Meter Freestyle,1,2,Girls,13-14,800,Freestyle,800Freestyle,13-14Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,0.568258922513235
Zara,13,Trinidad & Tobago,9:54.23,9:53.57,Girls 13-14 800 LC Meter Freestyle,1,3,Girls,13-14,800,Freestyle,800Freestyle,13-14Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-0.1111916033492205
Dndn F,14,Bahamas,10:03.47,10:02.06,Girls 13-14 800 LC Meter Freestyle,1,4,Girls,13-14,800,Freestyle,800Freestyle,13-14Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-0.23419592731622796
Lailah,13,Barbados Swim Team,10:46.29,10:14.26,Girls 13-14 800 LC Meter Freestyle,1,5,Girls,13-14,800,Freestyle,800Freestyle,13-14Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-5.214404323901927
Siann E,14,Bahamas,10:17.63,10:23.42,Girls 13-14 800 LC Meter Freestyle,1,6,Girls,13-14,800,Freestyle,800Freestyle,13-14Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,0.9287478746270514
Lisa,14,Virgin Islands Swimming,10:21.66,10:25.31,Girls 13-14 800 LC Meter Freestyle,1,7,Girls,13-14,800,Freestyle,800Freestyle,13-14Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,0.5837104796021138
Emma,13,Aruba,10:37.59,10:26.42,Girls 13-14 800 LC Meter Freestyle,1,8,Girls,13-14,800,Freestyle,800Freestyle,13-14Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-1.7831486861849994
Naomi,14,Barbados Swim Team,10:16.41,10:29.45,Girls 13-14 800 LC Meter Freestyle,1,9,Girls,13-14,800,Freestyle,800Freestyle,13-14Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,2.0716498530463223
Anna,13,Cayman Islands-ZZ,10:20.69,10:36.39,Girls 13-14 800 LC Meter Freestyle,1,10,Girls,13-14,800,Freestyle,800Freestyle,13-14Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,2.4670406511730123
Cassidy A,14,Cayman Islands-ZZ,10:09.61,11:04.57,Girls 13-14 800 LC Meter Freestyle,1,11,Girls,13-14,800,Freestyle,800Freestyle,13-14Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,8.270009178867543
Heidi,15,Barbados Swim Team,9:11.81,9:18.93,Girls 15-17 800 LC Meter Freestyle,1,1,Girls,15-17,800,Freestyle,800Freestyle,15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,1.273862558817742
Tilly,17,Grenada National Swim Team,9:41.41,9:32.10,Girls 15-17 800 LC Meter Freestyle,1,2,Girls,15-17,800,Freestyle,800Freestyle,15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-1.627337877993348
Madison,16,Antigua Barbuda National Team,9:34.20,9:35.47,Girls 15-17 800 LC Meter Freestyle,1,3,Girls,15-17,800,Freestyle,800Freestyle,15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,0.22068917580412217
Riley J,15,Cayman Islands-ZZ,9:42.08,9:40.68,Girls 15-17 800 LC Meter Freestyle,1,4,Girls,15-17,800,Freestyle,800Freestyle,15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-0.24109664531240804
Maylis,15,Martinique,9:56.56,9:44.53,Girls 15-17 800 LC Meter Freestyle,1,5,Girls,15-17,800,Freestyle,800Freestyle,15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-2.0580637435204308
Ludyvia,15,Martinique,9:51.42,9:50.80,Girls 15-17 800 LC Meter Freestyle),1,1,Girls,15-17,800,Freestyle),800Freestyle),15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-0.10494245091401566
Emeline,16,Team Guadeloupe,9:58.36,9:57.35,Girls 15-17 800 LC Meter Freestyle),1,2,Girls,15-17,800,Freestyle),800Freestyle),15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-0.16908010379174535
Isabella,15,Barbados Swim Team,9:57.72,9:59.71,Girls 15-17 800 LC Meter Freestyle),1,3,Girls,15-17,800,Freestyle),800Freestyle),15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,0.3318270497407095
Keryn,16,Trinidad & Tobago,10:21.21,10:00.54,Girls 15-17 800 LC Meter Freestyle),1,4,Girls,15-17,800,Freestyle),800Freestyle),15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-3.4419022879408656
Elle A,17,Bahamas,10:09.78,10:08.68,Girls 15-17 800 LC Meter Freestyle),1,5,Girls,15-17,800,Freestyle),800Freestyle),15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-0.18071893277256076
Lelah E,15,Bahamas,10:06.88,10:11.08,Girls 15-17 800 LC Meter Freestyle),1,6,Girls,15-17,800,Freestyle),800Freestyle),15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,0.6873077174838066
Aimee,15,Trinidad & Tobago,10:01.67,10:11.15,Girls 15-17 800 LC Meter Freestyle),1,7,Girls,15-17,800,Freestyle),800Freestyle),15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,1.5511740161989722
Sienna Y,16,Cayman Islands-ZZ,9:53.28,10:20.82,Girls 15-17 800 LC Meter Freestyle),1,8,Girls,15-17,800,Freestyle),800Freestyle),15-17Girls,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,4.43606842563063
Lennox M,14,Cayman Islands-ZZ,16:32.95,17:11.14,Boys 13-14 1500 LC Meter Freestyle,2,1,Boys,13-14,1500,Freestyle,1500Freestyle,13-14Boys,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,3.7036677851698165
Noland A,14,Jamaica,17:32.57,17:18.14,Boys 13-14 1500 LC Meter Freestyle,2,2,Boys,13-14,1500,Freestyle,1500Freestyle,13-14Boys,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-1.3899859363862133
Gabriel,14,Cayman Islands-ZZ,17:29.90,17:32.91,Boys 13-14 1500 LC Meter Freestyle,2,3,Boys,13-14,1500,Freestyle,1500Freestyle,13-14Boys,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,0.2858743862248426
Kaylan K,14,Bahamas,18:22.01,17:52.37,Boys 13-14 1500 LC Meter Freestyle,2,4,Boys,13-14,1500,Freestyle,1500Freestyle,13-14Boys,XXXVIII Carifta 2025 Aquatic Championships - 19/04/2025 to 22/04/2025,-2.763971390471582
